ticker,MAE,RMSE,R2
AAPL,7.665448588104371,9.79879217693146,0.9603762357015557
MSFT,15.989632737307218,21.2862692970564,0.9525013463245722
NVDA,5.4444839029433805,7.5127645419307765,0.9846705295151885
AMZN,8.005367438577519,10.397402584190594,0.9317312508246884
GOOG,8.511875722676113,11.290810897598814,0.9638194253632955
META,22.041900592660248,29.845211470099606,0.9739937290303659
TSLA,28.355131877070033,36.644149114092194,0.8502184848910814
BRK-B,8.993830030658232,11.25356079702914,0.9871585182083953
JPM,5.579711948856035,7.479024769673592,0.9881063296317559
JNJ,3.8437395275021915,4.9461938304064645,0.9501253244054805
V,6.593797071824925,8.608190422126908,0.9756824848978004
UNH,22.18169585470521,30.151545404640125,0.8926379534327091
PG,3.111640173634447,4.056624911927679,0.9459976618680547
MA,13.124707094865816,16.79125568958375,0.9666772716878862
DIS,5.791149155116646,7.382643657204866,0.9369846181325776
HD,12.902452911823547,16.028972474035903,0.9127319386569566
PFE,1.1408190837879282,1.4517069673220306,0.9510166965753025
BAC,1.4564699901160885,1.795611544188552,0.9589941300819482
NFLX,5.4761727937400755,7.238262278684976,0.9334524495276477
ORCL,14.00865950610023,20.12553107239178,0.8731477518632006
CMCSA,1.081615255523347,1.4072596446902765,0.9361930598737687
XOM,3.820848364586356,5.000597705476866,0.974254008080284
CVX,6.008577067927771,7.604874384145861,0.9473829650447797
UNP,6.616490690335215,8.254495825919259,0.9004352470955505
KO,1.3461797527601538,1.7100947798913682,0.9681992608006689
